PositionKey,ColumnId,Geometry,MeasuredWxH,TagWxH,FamilyType,Status,Message,CenterX,CenterY,IdHandle,IdDist,TagHandle,LineHandles
X1-Y1,C17,矩形,100x100,100x100,C100x100cm,已配對,,-15087.0606,-76519.8456,126C,180.7,126D,10EE 10EF 10F0 10F1
X2-Y1,C18,矩形,90x120,90x120,C90x120cm,已配對,,-14192.0606,-76469.8456,1090,188.4,1091,10FE 10FF 1100 1101
X3-Y1,C19,矩形,90x120,90x120,C90x120cm,已配對,,-13322.0606,-76469.8456,1088,139.4,1089,110E 110F 1110 1111
X4-Y1,C20,矩形,90x115,90x115,C90x115cm,已配對,,-12567.0606,-76527.3455,10A4,79.9,10A5,111E 111F 1120 1121
X1-Y2,C13,矩形,90x110,90x110,C90x110cm,已配對,,-15092.0606,-77314.8456,1275,189.1,1276,10EA 10EB 10EC 10ED
X2-Y2,C14,矩形,90x110,90x110,C90x110cm,已配對,,-14202.0606,-77334.8456,1097,129.3,1098,10FA 10FB 10FC 10FD
X3-Y2,C15,矩形,100x100,100x100,C100x100cm,已配對,,-13327.0606,-77339.8456,126F,103.7,1270,110A 110B 110C 110D
X4-Y2,C16,矩形,90x110,90x110,C90x110cm,已配對,,-12537.0606,-77309.8456,1273,115.3,1274,111A 111B 111C 111D
X1-Y3,C9,矩形,90x90,100x90,,資料矛盾,標籤 100x90 ≠ 量測 90x90,-15092.0606,-78154.8456,1279,133.4,127A,10E6 10E7 10E8 10E9
X2-Y3,C10,矩形,110x90,110x90,C110x90cm,已配對,,-14162.0606,-78154.8456,1084,186.1,1085,10F6 10F7 10F8 10F9
X3-Y3,C11,矩形,110x90,110x90,C110x90cm,已配對,,-13302.0606,-78154.8456,108E,108.4,108F,1106 1107 1108 1109
X4-Y3,C12,矩形,110x90,100x90,,資料矛盾,標籤 100x90 ≠ 量測 110x90,-12527.0606,-78154.8456,1277,101.8,1278,1116 1117 1118 1119
X1-Y4,C5,矩形,90x105,90x105,C90x105cm,已配對,,-15092.0606,-78894.3456,127D,140.7,127E,10E2 10E3 10E4 10E5
X2-Y4,C6,矩形,90x110,90x110,C90x110cm,已配對,,-14172.0606,-78939.8456,1094,156.3,1095,10F2 10F3 10F4 10F5
X3-Y4,C7,矩形,110x90,110x90,C110x90cm,已配對,,-13352.0606,-78949.8456,108C,156.6,108D,1102 1103 1104 1105
X4-Y4,C8,矩形,90x105,90x105,C90x105cm,已配對,,-12537.0606,-78923.3456,127B,133.1,127C,1112 1113 1114 1115
X1-Y5,C1,矩形,110x90,110x90,C110x90cm,已配對,,-15102.0606,-79647.3456,108A,144.3,108B,10D2 10D3 10D4 10D5
X2-Y5,C2,矩形,90x110,90x110,C90x110cm,已配對,,-14152.0606,-79637.3456,1082,141.3,1083,10D6 10D7 10D8 10D9
X3-Y5,C3,矩形,90x110,90x110,C90x110cm,已配對,,-13342.0606,-79637.3456,1092,183.6,1093,10DA 10DB 10DC 10DD
X4-Y5,C4,矩形,90x110,90x110,C90x110cm,已配對,,-12537.0606,-79612.3456,12C4,123.8,12C5,10DE 10DF 10E0 10E1
