layer,type,handle,closed,x,y,x2,y2,radius,text,vertices
COL-L,LINE,1121,,-12612.0606,-76584.8455,-12522.0606,-76584.8455,,,
COL-L,LINE,1120,,-12612.0606,-76469.8455,-12612.0606,-76584.8455,,,
COL-L,LINE,111F,,-12522.0606,-76469.8455,-12612.0606,-76469.8455,,,
COL-L,LINE,111E,,-12522.0606,-76584.8455,-12522.0606,-76469.8455,,,
COL-L,LINE,111D,,-12582.0606,-77364.8456,-12492.0606,-77364.8456,,,
COL-L,LINE,111C,,-12582.0606,-77254.8456,-12582.0606,-77364.8456,,,
COL-L,LINE,111B,,-12492.0606,-77254.8456,-12582.0606,-77254.8456,,,
COL-L,LINE,111A,,-12492.0606,-77364.8456,-12492.0606,-77254.8456,,,
COL-L,LINE,1119,,-12582.0606,-78199.8456,-12472.0606,-78199.8456,,,
COL-L,LINE,1118,,-12582.0606,-78109.8456,-12582.0606,-78199.8456,,,
COL-L,LINE,1117,,-12472.0606,-78109.8456,-12582.0606,-78109.8456,,,
COL-L,LINE,1116,,-12472.0606,-78199.8456,-12472.0606,-78109.8456,,,
COL-L,LINE,1115,,-12582.0606,-78975.8456,-12492.0606,-78975.8456,,,
COL-L,LINE,1114,,-12582.0606,-78870.8456,-12582.0606,-78975.8456,,,
COL-L,LINE,1113,,-12492.0606,-78870.8456,-12582.0606,-78870.8456,,,
COL-L,LINE,1112,,-12492.0606,-78975.8456,-12492.0606,-78870.8456,,,
COL-L,LINE,1111,,-13367.0606,-76529.8456,-13277.0606,-76529.8456,,,
COL-L,LINE,1110,,-13367.0606,-76409.8456,-13367.0606,-76529.8456,,,
COL-L,LINE,110F,,-13277.0606,-76409.8456,-13367.0606,-76409.8456,,,
COL-L,LINE,110E,,-13277.0606,-76529.8456,-13277.0606,-76409.8456,,,
COL-L,LINE,110D,,-13377.0606,-77389.8456,-13277.0606,-77389.8456,,,
COL-L,LINE,110C,,-13377.0606,-77289.8456,-13377.0606,-77389.8456,,,
COL-L,LINE,110B,,-13277.0606,-77289.8456,-13377.0606,-77289.8456,,,
COL-L,LINE,110A,,-13277.0606,-77389.8456,-13277.0606,-77289.8456,,,
COL-L,LINE,1109,,-13357.0606,-78199.8456,-13247.0606,-78199.8456,,,
COL-L,LINE,1108,,-13357.0606,-78109.8456,-13357.0606,-78199.8456,,,
COL-L,LINE,1107,,-13247.0606,-78109.8456,-13357.0606,-78109.8456,,,
COL-L,LINE,1106,,-13247.0606,-78199.8456,-13247.0606,-78109.8456,,,
COL-L,LINE,1105,,-13407.0606,-78994.8456,-13297.0606,-78994.8456,,,
COL-L,LINE,1104,,-13407.0606,-78904.8456,-13407.0606,-78994.8456,,,
COL-L,LINE,1103,,-13297.0606,-78904.8456,-13407.0606,-78904.8456,,,
COL-L,LINE,1102,,-13297.0606,-78994.8456,-13297.0606,-78904.8456,,,
COL-L,LINE,1101,,-14237.0606,-76529.8456,-14147.0606,-76529.8456,,,
COL-L,LINE,1100,,-14237.0606,-76409.8456,-14237.0606,-76529.8456,,,
COL-L,LINE,10FF,,-14147.0606,-76409.8456,-14237.0606,-76409.8456,,,
COL-L,LINE,10FE,,-14147.0606,-76529.8456,-14147.0606,-76409.8456,,,
COL-L,LINE,10FD,,-14247.0606,-77389.8456,-14157.0606,-77389.8456,,,
COL-L,LINE,10FC,,-14247.0606,-77279.8456,-14247.0606,-77389.8456,,,
COL-L,LINE,10FB,,-14157.0606,-77279.8456,-14247.0606,-77279.8456,,,
COL-L,LINE,10FA,,-14157.0606,-77389.8456,-14157.0606,-77279.8456,,,
